gene_name,gene_index,log2FC,p_value,adj_p_value
MTRNR2L12,0,-0.192096,0.5897802835234808,0.6848153100545821
HBA2,1,-8.993886,2.060300899644983e-20,4.0157280742628605e-16
LCN2,2,0.629895,0.15141725503104536,0.24988032680236427
COL1A1,3,3.403101,1.7863091218058714e-10,3.910230667633053e-08
COL3A1,4,3.733125,1.2660407319472182e-08,1.018051773881312e-06
PRSS1,5,-1.649903,0.1731223493763308,0.2728110226414248
TIMP1,6,2.298303,7.8890336606641e-06,0.00014744851934477617
CTRB2,7,0.125253,0.9215649288520886,0.9718312098980301
AMY2A,8,-0.506488,0.47036023156000506,0.5713049890236535
TPM4,9,0.626245,0.004456617995687574,0.018589843559822336
CPA1,10,-3.109275,0.01822543113785761,0.05194783326117483
ANXA2,11,0.138563,0.5912739478557413,0.6861268673993944
HNRNPH1,12,0.406693,0.03850994978090974,0.09049123442854781
MMP2,13,3.903135,2.113479204234768e-08,1.5307960956848957e-06
FLNB,14,-0.158262,0.5880525804420333,0.6830910310901238
S100P,15,-1.292578,0.010011497597107325,0.03370412066996094
CTSE,16,-1.486539,0.004823973164942504,0.019717239693471424
CXCL8,17,-0.921643,0.28273697381376334,0.39740328549341974
PNLIP,18,-1.993613,0.1254509851259967,0.2161544392135089
FTH1,19,0.396293,0.0643162587831193,0.13237511641101476
FN1,20,3.464151,1.5884959190757536e-07,7.223533798243718e-06
KRT7,21,-0.363665,0.2840040987049807,0.39888534601745385
S100A6,22,-0.171138,0.5131184445445174,0.6130721375445167
NPIPB5,23,0.289817,0.198028066922386,0.3021492368678692
REG1A,24,-0.607868,0.6120861558191193,0.7057241970967677
CELA2A,25,-1.922406,0.14631827561731625,0.24305365496937165
SFRP2,26,4.080501,1.509168091538973e-05,0.00024055113730913675
MMP14,27,1.281978,9.554127932403268e-05,0.001006555478054956
RPL3,28,1.332498,2.8438363736863014e-08,1.9559850298418557e-06
PRSS2,29,-1.306506,0.2109754716135379,0.3170909190004814
RRP7A,30,0.029028,0.8892246664386578,0.9465443259592212
TPT1,31,0.566063,0.019074377925399278,0.05370169273076845
IGFBP5,32,3.321654,1.9761684005093457e-09,2.345330943279194e-07
NPIPB3,33,0.319596,0.12542700815591554,0.21614814038847613
COL1A2,34,4.208358,1.1350786896710401e-07,5.4943944140563045e-06
CEL,35,-1.135361,0.3285682934181976,0.42822995161629474
CPB1,36,-3.136185,0.015788609688309856,0.046718443897475585
PLXNB2,37,0.391286,0.1021309323882124,0.1852745395009367
NDRG1,38,0.018116,0.9526859649474665,0.996118575280227
LUM,39,4.254322,1.464721745980446e-07,6.742168952701114e-06
COPA,40,0.559054,0.007688978923403613,0.027871310721246476
